Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5;tipoentidad;Idproyecto;año;fondo;instrumento;provincia;titulo;areatematicanormalizada;montorealxproyecto;montorealxpentidad;pentidad
1853;1853-1;1;Lic. Osuna Marisa Lorena;Privado;Persona física;Persona física;Lic. Osuna Marisa Lorena;Lic. Osuna Marisa Lorena;beneficiario;53;2009;COFECyT;ASETUR;MISIONES;Emprendimiento turístico mariposario ;Turismo; $ 121,341 ; $ 60,670 ;2
1854;1854-1;1;Lila Viviana de Rosa;Privado;Persona física;Persona física;Lila Viviana de Rosa;Lila Viviana de Rosa;beneficiario;1699;2009;COFECyT;PFIP ;CHACO;"Produccion de alimentos alternativos ""desde el campo y lo natural"" a la mesa ";Desarrollo productivo local; $ 68,575 ; $ 34,287 ;2
1855;1855-1;1;LOGROS SA;Privado;Empresa privada;SA;LOGROS SA;LOGROS SA;beneficiario;964;2016;COFECyT;PEBIO-R ;INTERPROVINCIAL;DISEÑO, DESARROLLO, MONTAJE Y PUESTA EN MARCHA DE UN SISTEMA DE INOCUIDAD POR DESINFECCION, CONSERVACIÓN Y MEJORA DE RENDIMIENTOS EN LA INDUSTRIA FRIGORÍFICA MEDIANTE EL USO DE GAS OZONO. PROCESO DE TRANSFERENCIA DEL MODELO;Bioeconomía regional; $ 305,048 ; $ 305,048 ;1
1856;1856-1;2;Lomas de Zamora;Estado;Municipal;Municipio o comuna;Lomas de Zamora;Lomas de Zamora;beneficiario;1039;2011;COFECyT;ESPECIFICOS ;BUENOS AIRES;Centro de valorización de residuos verdes y áridos ;; $ 579,450 ; $ 289,725 ;2
1856;1856-2;2;Lanús;Estado;Municipal;Municipio o comuna;Lanús;Lanús;beneficiario;1039;2011;COFECyT;ESPECIFICOS ;BUENOS AIRES;Centro de valorización de residuos verdes y áridos ;; $ 579,450 ; $ 289,725 ;2
1857;1857-1;1;Lomas del Sol SRL;Privado;Empresa privada;SRL;Lomas del Sol SRL;Lomas del Sol SRL;beneficiario;1465;2006;COFECyT;PFIP ;SAN JUAN;Modernización tecnológica del proceso de industrialización de la pasa de uva ;Desarrollo productivo local; $ 190,415 ; $ 95,208 ;2
1858;1858-1;1;Los Antiguos;Estado;Municipal;Municipio o comuna;Los Antiguos;Los Antiguos;beneficiario;619;2010;COFECyT;DETEM ;SANTA CRUZ;Producción de dulces y confituras: Antiguos Sabores ;Desarrollo local; $ 236,544 ; $ 118,272 ;2
1859;1859-1;1;Los Helechos;Estado;Municipal;Municipio o comuna;Los Helechos;Los Helechos;beneficiario;472;2010;COFECyT;DETEM ;MISIONES;Apoyo a la diversificación productiva de Los Helechos ;Desarrollo local; $ 107,520 ; $ 53,760 ;2
1860;1860-1;5;Los Hornillos;Estado;Municipal;Municipio o comuna;Los Hornillos;Los Hornillos;beneficiario;685;2011;COFECyT;DETEM ;CÓRDOBA;Aseguramiento de la provisión de agua potable, control y gestión en cinco comunas;Desarrollo local; $ 129,797 ; $ 21,633 ;6
1860;1860-2;5;Las Tapias;Estado;Municipal;Municipio o comuna;Las Tapias;Las Tapias;beneficiario;685;2011;COFECyT;DETEM ;CÓRDOBA;Aseguramiento de la provisión de agua potable, control y gestión en cinco comunas;Desarrollo local; $ 129,797 ; $ 21,633 ;6
